fu3Column	fu2Column	Instrument	fu3Core
id	User.code	ALL	ALL
ipaddr	DELETE	ALL	ALL
datestamp	Completed.Timestamp	ALL	ALL
submitdate	Completed	ALL	ALL
startlanguage	Language	ALL	ALL
IdCheckGender	id_check_gender	ALL	ALL
IdCheckDob	id_check_dob	ALL	ALL
TS1	ts_1	ALL	ALL
YearRelevin	year_relevin	IMGN_ESPAD	1
MonthRelevin	month_relevin	IMGN_ESPAD	1
WeekRelevin	week_relevin	IMGN_ESPAD	1
FirstRelevin	first_relevin	IMGN_ESPAD	1
Espad31Relevin	31relevin	IMGN_ESPAD	1
LifeHeroin	life_heroin	IMGN_ESPAD	1
YearHeroin	year_heroin	IMGN_ESPAD	1
MonthHeroin	month_heroin	IMGN_ESPAD	1
WeekHeroin	week_heroin	IMGN_ESPAD	1
FirstHeroin	first_heroin	IMGN_ESPAD	1
Espad31Heroin	31heroin	IMGN_ESPAD	1
LifeNarcotic	life_narcotic	IMGN_ESPAD	1
YearNarcotic	year_narcotic	IMGN_ESPAD	1
MonthNarcotic	month_narcotic	IMGN_ESPAD	1
WeekNarcotic	week_narcotic	IMGN_ESPAD	1
FirstNarcotic	first_narcotic	IMGN_ESPAD	1
Espad31Narcotic	31narcotic	IMGN_ESPAD	1
LifeMdma	life_mdma	IMGN_ESPAD	1
YearMdma	year_mdma	IMGN_ESPAD	1
MonthMdma	month_mdma	IMGN_ESPAD	1
WeekMdma	week_mdma	IMGN_ESPAD	1
FirstMdma	first_mdma	IMGN_ESPAD	1
Espad31Mdma	31mdma	IMGN_ESPAD	1
LifeKetamine	life_ketamine	IMGN_ESPAD	1
YearKetamine	year_ketamine	IMGN_ESPAD	1
MonthKetamine	month_ketamine	IMGN_ESPAD	1
WeekKetamine	week_ketamine	IMGN_ESPAD	1
FirstKetamine	first_ketamine	IMGN_ESPAD	1
Espad31Ketamine	31ketamine	IMGN_ESPAD	1
LifeGhb	life_ghb	IMGN_ESPAD	1
YearGhb	year_ghb	IMGN_ESPAD	1
MonthGhb	month_ghb	IMGN_ESPAD	1
WeekGhb	week_ghb	IMGN_ESPAD	1
FirstGhb	first_ghb	IMGN_ESPAD	1
Espad31Ghb	31ghb	IMGN_ESPAD	1
LifeAnabolic	life_anabolic	IMGN_ESPAD	1
YearAnabolic	year_anabolic	IMGN_ESPAD	1
MonthAnabolic	month_anabolic	IMGN_ESPAD	1
WeekAnabolic	week_anabolic	IMGN_ESPAD	1
FirstAnabolic	first_anabolic	IMGN_ESPAD	1
Espad31Anabolic	31anabolic	IMGN_ESPAD	1
dastCannabis.3.	dast3cannabis	IMGN_ESPAD	1
dastCannabis.4.	dast4cannabis	IMGN_ESPAD	1
dastCannabis.5.	dast5cannabis	IMGN_ESPAD	1
dastCannabis.6.	dast6cannabis	IMGN_ESPAD	1
dastCannabis.7.	dast7cannabis	IMGN_ESPAD	1
dastCannabis.8.	dast8cannabis	IMGN_ESPAD	1
dastCannabis.9.	dast9cannabis	IMGN_ESPAD	1
dastCannabis.10.	dast10cannabis	IMGN_ESPAD	1
dastCannabis.11.	dast11cannabis	IMGN_ESPAD	1
dastCannabis.12.	dast12cannabis	IMGN_ESPAD	1
dastCannabis.13.	dast13cannabis	IMGN_ESPAD	1
dastCannabis.14.	dast14cannabis	IMGN_ESPAD	1
dastCannabis.15.	dast15cannabis	IMGN_ESPAD	1
dastCannabis.16.	dast16cannabis	IMGN_ESPAD	1
dastCannabis.17.	dast17cannabis	IMGN_ESPAD	1
dastCannabis.18.	dast18cannabis	IMGN_ESPAD	1
dastCannabis.19.	dast19cannabis	IMGN_ESPAD	1
dastCannabis.20.	dast20cannabis	IMGN_ESPAD	1
ScidCannabisA1AC1	SCID_A1AC_1_cannabis	IMGN_ESPAD	1
ScidCannabisA1AC2	SCID_A1AC_2_cannabis	IMGN_ESPAD	1
ScidCannabisA1AC3	SCID_A1AC_3_cannabis	IMGN_ESPAD	1
ScidCannabisA1AC4	SCID_A1AC_4_cannabis	IMGN_ESPAD	1
ScidCannabisA1AC5	SCID_A1AC_5_cannabis	IMGN_ESPAD	1
ScidCannabisA1B1	SCID_A1B_1_cannabis	IMGN_ESPAD	1
ScidCannabisA1B2	SCID_A1B_2_cannabis	IMGN_ESPAD	1
ScidCannabisA1B3	SCID_A1B_3_cannabis	IMGN_ESPAD	1
ScidCannabisA1B4	SCID_A1B_4_cannabis	IMGN_ESPAD	1
ScidCannabisA1B5	SCID_A1B_5_cannabis	IMGN_ESPAD	1
ScidCannabisA1D1	SCID_A1D_1_cannabis	IMGN_ESPAD	1
ScidCannabisA1D3	SCID_A1D_3_cannabis	IMGN_ESPAD	1
ScidCannabisA1D2	SCID_A1D_2_cannabis	IMGN_ESPAD	1
ScidCannabisA1D4	SCID_A1D_4_cannabis	IMGN_ESPAD	1
ScidCannabisA1D5	SCID_A1D_5_cannabis	IMGN_ESPAD	1
ScidCannabisA1D6	SCID_A1D_6_cannabis	IMGN_ESPAD	1
ScidCannabisA21	SCID_A2_1_cannabis	IMGN_ESPAD	1
ScidCannabisA22	SCID_A2_2_cannabis	IMGN_ESPAD	1
ScidCannabisA23	SCID_A2_3_cannabis	IMGN_ESPAD	1
ScidCannabisA24	SCID_A2_4_cannabis	IMGN_ESPAD	1
ScidCannabisA25	SCID_A2_5_cannabis	IMGN_ESPAD	1
ScidCannabisA31	SCID_A3_1_cannabis	IMGN_ESPAD	1
